date,time,title,link,search_text
9 травня,17:05,Петер Мадяр офіційно став прем’єр-міністром Угорщини: що відомо,https://www.ukr.net/cluster/main/Peter_Madjar_oficijno_stav_prem_er_ministrom_Ugorwini_wo_vidomo-69088879.html,петер мадяр офіційно міністр угорщина відомо
9 травня,16:30,Втрати РФ пробили історичний рубіж: два регіони Росії вже перевищили “афганський” рекорд СРСР,https://www.ukr.net/cluster/main/Vtrati_RF_probili_istorichnij_rubizh_dva_regioni_Rosiji_vzhe_pereviwili_afganskij_rekord_SRSR-69088795.html,втрата пробити історичний рубіж регіон росія перевищити афганський рекорд срср
9 травня,16:30,Кабмін підготував зміни до держбюджету-2026 для посилення сектору безпеки і оборони: деталі від Міноборони,https://www.ukr.net/cluster/main/Kabmin_pidgotuvav_zmini_do_derzhbjudzhetu_2026_dlja_posilennja_sektoru_bezpeki_i_oboroni_detali_vid_Minoboroni-69084598.html,кабмін підготувати зміна держбюджет посилення сектор безпека оборона деталь міноборони
9 травня,16:02,Возз'єднання тандему: українські каноїстки завоювали золото Кубка світу,https://www.ukr.net/cluster/main/Vozz_ednannja_tandemu_ukrajinski_kanojistki_zavojuvali_zoloto_Kubka_svitu-69088086.html,тандем український каноїстка завоювати золото кубок світ
9 травня,15:31,"Україна випробувала ШІ-турель для перехоплення російських дронів, – Федоров (ВIДЕО)",https://www.ukr.net/cluster/main/Ukrajina_viprobuvala_ShI_turel_dlja_perehoplennja_rosijskih_droniv_Fedorov_VIDEO-69088364.html,україна випробувати турель перехоплення російський дрон федоров вiдео
9 травня,15:30,Латвія підіймала винищувачі через загрозу в небі на кордоні з РФ,https://www.ukr.net/cluster/main/Latvija_pidijmala_viniwuvachi_cherez_zagrozu_v_nebi_na_kordoni_z_RF-69085910.html,латвія підіймати винищувач загроза небо кордон
9 травня,15:25,Пентагон оприлюднив нові матеріали про НЛО та загадкові об’єкти,https://www.ukr.net/cluster/main/Pentagon_opriljudniv_novi_materiali_pro_NLO_ta_zagadkovi_ob_ekti-69086292.html,пентагон оприлюднити новий матеріал нло загадковий
9 травня,15:20,"Країни НАТО готуються, що Трамп виведе більше військ США з Європи, – Bloomberg",https://www.unian.ua/world/krajini-nato-gotuyutsya-shcho-tramp-vivede-bilshe-viysk-ssha-z-yevropi-bloomberg-13376778.html?utm_source=ukrnet_news,країна нато готуватися трамп вивести військо сша європа bloomberg
9 травня,15:06,Через російський удар загинув заступник голови Краматорської РДА,https://www.ukr.net/cluster/main/Cherez_rosijskij_udar_zaginuv_zastupnik_golovi_Kramatorskoji_RDA-69088434.html,російський удар загинути заступник голова краматорський рда
9 травня,15:02,Трамп допустив продовження перемир’я між росією та Україною після 11 травня,https://www.ukr.net/cluster/main/Tramp_dopustiv_prodovzhennja_peremir_ja_mizh_rosieju_ta_Ukrajinoju_pislja_11_travnja-69087825.html,трамп допустити продовження росія україна травень
9 травня,14:39,“Європу нема чим лякати”: росіяни масово розкритикували парад у Москві та промову Путіна,https://www.ukr.net/cluster/main/Evropu_nema_chim_ljakati_rosijani_masovo_rozkritikuvali_parad_u_Moskvi_ta_promovu_Putina-69088239.html,європа нема лякати росіянин масово розкритикувати парад москва промова путін
9 травня,14:33,США та Іран можуть відновити мирні переговори в Ісламабаді наступного тижня,https://www.ukr.net/cluster/main/SShA_ta_Iran_mozhut_vidnoviti_mirni_peregovori_v_Islamabadi_nastupnogo_tizhnja-69088198.html,сша іран відновити мирний переговори ісламабад наступний тиждень
9 травня,14:21,"У Франції затримали українця, якого підозрюють у катуваннях людей у Донецьку",https://www.ukr.net/cluster/main/U_Franciji_zatrimali_ukrajincja_jakogo_pidozrjujut_u_katuvannjah_ljudej_u_Donecku-69088113.html,франція затримати українець підозрювати катування людина донецьк
9 травня,13:53,В Чечне шесть человек получили ранения в результате атаки дронов,https://www.currenttime.tv/a/chechnya-drones/33753274.html,чечне шесть человек получити ранения результате атака дронов
