term,average_tf,idf,tf_idf,frequency,document_frequency
aasland,7.77363184079602e-05,5.2574953720277815,0.00040869833426832876,1,1
able,0.0006510416666666666,5.2574953720277815,0.0034228485494972533,1,1
abolish,8.400537634408601e-05,5.2574953720277815,0.0004416578773544843,1,1
abroad,0.000744047619047619,5.2574953720277815,0.003911826913711147,1,1
abruptly,6.127450980392157e-05,5.2574953720277815,0.0003221504517173886,1,1
absolutely,6.127450980392157e-05,5.2574953720277815,0.0003221504517173886,1,1
absorb,9.827044025157232e-05,5.2574953720277815,0.000516656384829774,1,1
acceptance,0.00027412280701754384,5.2574953720277815,0.0014411993892620015,1,1
accessory,0.0004006410256410257,5.2574953720277815,0.0021063683381521564,1,1
accommodate,0.00022644927536231884,5.2574953720277815,0.0011905560172164361,1,1
accord,0.00041740376302116123,4.1588830833596715,0.0017359334489593767,3,3
account,0.0009520609318996416,4.564348191467836,0.004345537592683311,2,2
accountability,8.538251366120219e-05,5.2574953720277815,0.0004488981704258693,1,1
accreditation,8.538251366120219e-05,5.2574953720277815,0.0004488981704258693,1,1
accurate,0.000946969696969697,5.2574953720277815,0.004978688799268733,2,1
accuse,0.00017076502732240437,5.2574953720277815,0.0008977963408517386,2,1
achieve,9.46969696969697e-05,5.2574953720277815,0.0004978688799268733,1,1
acquire,9.300595238095238e-05,5.2574953720277815,0.0004889783642138934,1,1
act,0.00044549266247379454,4.564348191467836,0.002033383628274455,2,2
activity,7.77363184079602e-05,5.2574953720277815,0.00040869833426832876,1,1
actual,0.00043402777777777775,5.2574953720277815,0.002281899032998169,1,1
actually,9.827044025157232e-05,5.2574953720277815,0.000516656384829774,1,1
add,0.0005322982180293501,4.564348191467836,0.002429594408783816,2,2
address,0.0001481192012908431,4.564348191467836,0.00067606760853352,2,2
admire,5.600358422939069e-05,5.2574953720277815,0.0002944385849029896,1,1
admit,0.00018601190476190475,5.2574953720277815,0.0009779567284277867,2,1
advert,0.00028935185185185184,5.2574953720277815,0.0015212660219987794,1,1
advertising,0.0003255208333333333,5.2574953720277815,0.0017114242747486266,1,1
advice,0.0009365862573099416,4.564348191467836,0.004274905789706261,2,2
advise,0.0004425381263616558,4.564348191467836,0.0020198980967143882,3,2
adviser,0.00014512383900928792,4.564348191467836,0.0006623957321209127,2,2
aesthetic,0.000248015873015873,5.2574953720277815,0.0013039423045703821,1,1
affair,0.00011446886446886448,5.2574953720277815,0.0006018195251863304,2,1
affect,0.0011425675782987103,3.648057459593681,0.004168152177102497,5,5
