source,feed_topic,published,title,description,link,full_text,translated_text,analysis_text,category
Ukr.net,politics,2026-05-11 00:30,Сибіга їде до Брюсселя на зустрічі з представниками ЄС та НАТО,,https://tsn.ua/politika/sybiha-yide-do-briusselia-na-zustrichi-z-predstavnykamy-yes-ta-nato-3080384.html,Сибіга їде до Брюсселя на зустрічі з представниками ЄС та НАТО ,Sybiga is going to Brussels for a meeting with representatives of the EU and NATO,sybiga brussels meeting representative nato,economy
Ukr.net,politics,2026-05-11 00:08,"Координаційний штаб повідомив про формування списку полонених для нового обміну, який передали РФ",,https://www.radiosvoboda.org/a/news-koordynatsiinyi-shtab-spysok-polonenykh-obmin/33753882.html,"Координаційний штаб повідомив про формування списку полонених для нового обміну, який передали РФ ","The coordination headquarters announced the formation of a list of prisoners for a new exchange, which was handed over to the Russian Federation",coordination headquarters announce formation list prisoner new exchange hand russian federation,economy
Ukr.net,politics,2026-05-10 23:59,"Дуже сильна домовленість з Норвегією, – Зеленський про план виробництва далекобійних артснарядів",,https://24tv.ua/military/zelenskiy-anonsuvav-virobnitstvo-dalekobiynih-artsnaryadiv-spilno_n3065346,"Дуже сильна домовленість з Норвегією, – Зеленський про план виробництва далекобійних артснарядів ","A very strong agreement with Norway, Zelenskyi on the plan for the production of long-range artillery shells",strong agreement norway zelenskyi plan production long range artillery shell,economy
Ukr.net,politics,2026-05-10 23:59,Путін натякнув Вірменії на силу: у мережі вже радять Єревану вчитися у ЗСУ знищувати російські колони дронами,,https://donpatriot.news/putin-natyaknuv-virmeniyi-na-sylu-u-merezhi-vzhe-radyat-yerevanu-vchytysya-u-zsu-znyshhuvaty-rosijski-kolony-dronamy,Путін натякнув Вірменії на силу: у мережі вже радять Єревану вчитися у ЗСУ знищувати російські колони дронами ,Putin hinted at Armenia's strength: the network is already advising Yerevan to learn from the Armed Forces to destroy Russian convoys with drones,putin hint armenia strength network advise yerevan learn armed force destroy russian convoy drone,politics
Ukr.net,politics,2026-05-10 23:58,"Україна передала росії список полонених для обміну у форматі ""1000 на 1000""",,https://unn.ua/news/ukraina-peredala-rosii-spysok-polonenykh-dlia-obminu-u-formati-1000-na-1000,"Україна передала росії список полонених для обміну у форматі ""1000 на 1000"" ","Ukraine handed Russia a list of prisoners for exchange in the format ""1000 for 1000""",ukraine hand russia list prisoner exchange format,politics
Ukr.net,politics,2026-05-10 23:40,Міністр оборони Латвії пішов у відставку після інциденту з українськими дронами,,https://donpatriot.news/ministr-oborony-latviyi-pishov-u-vidstavku-pislya-inczydentu-z-ukrayinskymy-dronamy,Міністр оборони Латвії пішов у відставку після інциденту з українськими дронами ,The Minister of Defense of Latvia resigned after the incident with Ukrainian drones,minister defense latvia resign incident ukrainian drone,security
Ukr.net,politics,2026-05-10 23:14,Зеленський: Масштабний обмін полоненими готується,,https://dw.com/p/5DYO1?maca=ukr-rss-ukrnet-ukr-all-3816-xml,Зеленський: Масштабний обмін полоненими готується ,Zelensky: A large-scale exchange of prisoners is being prepared,zelensky large scale exchange prisoner prepare,economy
Ukr.net,politics,2026-05-10 23:11,"Стабільність фронту навесні може спричинити новий етап війни в Україні, – Kyiv Independent",,https://www.unian.ua/war/noviy-etap-viyni-yak-stabilnist-frontu-vplivaye-na-strategiyu-ukrajini-ta-rosiji-13377843.html?utm_source=ukrnet_news,"Стабільність фронту навесні може спричинити новий етап війни в Україні, – Kyiv Independent ","The stability of the front in the spring may cause a new stage of the war in Ukraine, Kyiv Independent",stability spring cause new stage war ukraine kyiv independent,politics
Ukr.net,politics,2026-05-10 23:09,Кремль втрачає вплив: погрози Путіна українським сценарієм сусідам більше не працюють (ВІДЕО),,https://uatv.ua/uk/kreml-vtrachaye-vplyv-pogrozy-putina-ukrayinskym-stsenariyem-susidam-bilshe-ne-pratsyuyut-video/,Кремль втрачає вплив: погрози Путіна українським сценарієм сусідам більше не працюють (ВІДЕО) ,The Kremlin is losing its influence: Putin's threats to the neighbors with the Ukrainian scenario no longer work (VIDEO),kremlin lose influence putin threat neighbor ukrainian scenario long work video,economy
Ukr.net,politics,2026-05-10 23:09,Темпи впровадження нормативної бази ЄС дають підстави для відкриття всіх переговорних кластерів – Качка,,https://interfax.com.ua/news/general/1166447.html,Темпи впровадження нормативної бази ЄС дають підстави для відкриття всіх переговорних кластерів – Качка ,The pace of implementation of the EU regulatory framework provides grounds for the opening of all negotiating clusters - Duck,pace implementation regulatory framework provide ground opening negotiate cluster duck,politics
