bigram,count
russian federation,18
prime minister,17
armed force,16
keir starmer,11
donald trump,11
west bengal,9
sir keir,8
russian army,7
plaid cymru,7
election result,7
middle east,7
war ukraine,6
general staff,6
narendra modi,6
putin say,5
end war,5
labour leader,5
reform green,5
party win,5
ter magyar,5
troop donbas,4
russian troop,4
force ukraine,4
kherson region,4
election loss,4
election gain,4
rhun iorwerth,4
green party,4
starmer face,4
iran response,4
song contest,4
united states,4
modi party,4
putin proposal,3
exchange prisoner,3
come end,3
reject putin,3
support ukraine,3
donetsk region,3
take place,3
russian attack,3
attack civilian,3
day ceasefire,3
scottish labour,3
suffer heavy,3
local election,3
labour conservative,3
lose seat,3
reform liberal,3
iorwerth say,3
control council,3
british politic,3
nigel farage,3
chris mason,3
scotland wale,3
train operator,3
president donald,3
viktor orb,3
parade moscow,3
eurovision song,3
despite agreement,3
vladimir putin,3
party leader,3
national party,3
devolve election,3
opinion issue,3
issue raise,3
raise article,3
article like,3
like submit,3
submit response,3
response word,3
word email,3
email consider,3
consider publication,3
publication letter,3
letter section,3
section click,3
andrea egan,3
status quo,3
strait hormuz,3
decision right,3
angus taylor,3
revolutionary guard,3
myanmar military,3
indian state,3
bharatiya janata,3
janata party,3
party bjp,3
bjp win,3
election west,3
