term,average_tf,idf,tf_idf,frequency,document_frequency
abbas,0.00033886818027787193,5.424950017481403,0.0018383429405223325,1,1
abroad,0.00036361093629816096,4.7318028369214575,0.0017205352599113054,2,2
absence,0.0001762114537444934,5.424950017481403,0.0009559383290716129,1,1
absolutely,0.00027533039647577095,5.424950017481403,0.0014936536391743952,1,1
accent,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
accept,6.992518005733865e-05,5.424950017481403,0.0003793406067744495,1,1
access,8.471704506946798e-05,5.424950017481403,0.00045958573513058313,1,1
accord,0.00022510529118458634,4.7318028369214575,0.0010651538554332565,2,2
account,6.0346388268662116e-05,5.424950017481403,0.00032737614009301807,1,1
accuse,0.0004087933603352106,4.7318028369214575,0.0019343295821488051,2,2
acknowledge,0.00018355359765051394,5.424950017481403,0.00099576909278293,1,1
action,0.00113692858445385,3.8155121050473024,0.004337964776557959,5,5
active,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
actively,0.0006293266205160478,5.424950017481403,0.0034140654609700455,1,1
activist,0.00032905967085806423,4.7318028369214575,0.0015570454840826294,2,2
activity,8.637816360024185e-05,5.424950017481403,0.0004685972201331435,1,1
actor,6.118453255017131e-05,5.424950017481403,0.0003319230309276433,1,1
add,6.0346388268662116e-05,5.424950017481403,0.00032737614009301807,1,1
addict,0.0005506607929515419,5.424950017481403,0.0029873072783487904,1,1
address,0.000511617665342531,4.038655656361512,0.002066247578030084,5,4
administration,0.0003953455756468709,4.326337728813293,0.0017103984798404674,4,3
admission,0.0001024485196188915,5.424950017481403,0.0005557780982974493,1,1
adn,0.00033886818027787193,5.424950017481403,0.0018383429405223325,2,1
adopt,3.0592266275085654e-05,5.424950017481403,0.00016596151546382164,1,1
advance,0.001982378854625551,4.326337728813293,0.008576440431568202,3,3
advancement,0.00022026431718061675,5.424950017481403,0.0011949229113395162,1,1
adventure,0.00033886818027787193,5.424950017481403,0.0018383429405223325,1,1
advise,0.0003146633102580239,5.424950017481403,0.0017070327304850228,1,1
advocate,0.00012069277653732423,5.424950017481403,0.0006547522801860361,2,1
affair,0.00014684287812041116,5.424950017481403,0.0007966152742263441,1,1
affairs,0.00014684287812041116,5.424950017481403,0.0007966152742263441,1,1
african,0.00023185717597959656,5.424950017481403,0.0012578135908837011,1,1
aftermath,8.471704506946798e-05,5.424950017481403,0.00045958573513058313,1,1
agency,0.000874064750716733,4.326337728813293,0.003781499308451588,3,3
agent,0.00015733165512901194,5.424950017481403,0.0008535163652425114,1,1
ago,0.0002913549169055777,4.7318028369214575,0.001378634022364828,2,2
agree,0.0006865381314720522,4.7318028369214575,0.003248563078154213,2,2
agreement,0.00073586531492996,4.038655656361512,0.002971906616462128,5,4
ahead,0.001110639878012118,3.6331905482533475,0.004035166307306878,6,6
aide,0.0005414831130690162,4.326337728813293,0.0023426388215857592,4,3
aim,9.530897829733144e-05,4.7318028369214575,0.00045098329389139854,2,2
aircraft,0.001257218878364253,4.038655656361512,0.005077474134390266,4,4
airline,0.0001024485196188915,5.424950017481403,0.0005557780982974493,1,1
airport,0.0004496351694384683,4.7318028369214575,0.0021275849703286044,3,2
albanese,6.118453255017131e-05,5.424950017481403,0.0003319230309276433,2,1
alienate,0.00022026431718061675,5.424950017481403,0.0011949229113395162,1,1
allegation,0.0003671071953010279,5.424950017481403,0.00199153818556586,1,1
allegedly,0.0007138195464186654,4.7318028369214575,0.003377653354793829,2,2
allow,6.777363605557438e-05,5.424950017481403,0.00036766858810446647,1,1
ally,0.00020762399617025166,4.7318028369214575,0.0009824358140913666,3,2
alongside,6.384472961757008e-05,5.424950017481403,0.0003463544670549322,1,1
alternative,0.00020024028834601522,5.424950017481403,0.0010862935557631964,1,1
amazon,0.00017163453286801305,5.424950017481403,0.0009311087620827398,3,1
ambassador,0.001723333926436853,4.038655656361512,0.006959952309803891,5,4
america,0.0001144230219120087,5.424950017481403,0.0006207391747218266,2,1
american,0.0014237984193559694,3.6331905482533475,0.0051729309598221645,7,6
amid,0.0011258892882314133,3.8155121050473024,0.004295844208190049,6,5
ammunition,0.0007342143906020558,5.424950017481403,0.00398307637113172,1,1
amplify,6.118453255017131e-05,5.424950017481403,0.0003319230309276433,1,1
ana,6.0346388268662116e-05,5.424950017481403,0.00032737614009301807,1,1
analysis,0.00018355359765051394,5.424950017481403,0.00099576909278293,1,1
analyst,0.0001024485196188915,5.424950017481403,0.0005557780982974493,1,1
andrea,0.0001915341888527102,5.424950017481403,0.0010390634011647965,3,1
andrii,0.00014684287812041116,5.424950017481403,0.0007966152742263441,1,1
angus,0.00017269827735935452,4.7318028369214575,0.0008171741987404424,3,2
annexed,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
annihilate,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
anniversary,7.728572532653218e-05,5.424950017481403,0.00041927119696123365,1,1
announce,0.0021855203131316255,3.2277254401451834,0.007054259514649015,9,9
annual,0.00024473813020068524,5.424950017481403,0.0013276921237105731,1,1
