bigram,count
drone attack,8
year old,8
cruise ship,8
dnipropetrovsk region,6
region drone,6
ukrainian drone,5
people injure,5
attack nikopol,5
russian federation,4
russian drone,4
kherson region,4
enemy attack,4
nikopol region,4
hantavirus outbreak,4
mount dukono,4
minister defense,3
armed force,3
mykolaiv region,3
residential building,3
unmanned aerial,3
aerial vehicle,3
denver airport,3
forest fire,3
passenger evacuate,3
hantavirus hit,3
passenger crew,3
official say,3
man convict,3
port prince,3
mass shooting,3
