term,average_tf,idf,tf_idf,frequency,document_frequency
abdihafid,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
abdishakur,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
abuse,0.0004625502902984895,3.9415818076696905,0.0018231798093728603,2,2
academic,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
access,0.00030332514355445734,3.9415818076696905,0.0011955808676430463,2,2
accident,0.0016181229773462782,4.634728988229636,0.007499561469627242,1,1
accord,0.0007955320323408124,3.9415818076696905,0.003135654586093042,2,2
account,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
action,0.00088261253309797,4.634728988229636,0.0040906698925239505,1,1
activism,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
advocate,0.0007416396979503776,3.9415818076696905,0.0029232335412868525,2,2
aerial,0.0017114762260393326,3.9415818076696905,0.006745923556815812,3,2
afflict,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
africa,0.00020226537216828477,4.634728988229636,0.0009374451837034052,1,1
african,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
afternoon,0.00017337031900138694,4.634728988229636,0.0008035244431743473,1,1
agency,0.00016181229773462783,4.634728988229636,0.0007499561469627243,1,1
ago,0.00029420417769932336,4.634728988229636,0.001363556630841317,2,1
aid,0.001779935275080906,3.9415818076696905,0.007015760499088445,2,2
air,0.0004045307443365696,3.9415818076696905,0.0015944910225201014,2,2
aircraft,0.0019313080697358806,3.9415818076696905,0.007612408752676613,2,2
airline,0.0003595828838547285,4.634728988229636,0.0016665692154727205,2,1
airliner,0.0006472491909385113,4.634728988229636,0.002999824587850897,1,1
airport,0.0013664149586479681,3.9415818076696905,0.005385836342734564,5,2
alarming,0.00014490653528474135,4.634728988229636,0.0006716025196681113,1,1
ali,0.00036636746656896867,4.634728988229636,0.001698013917651451,2,1
allege,0.0005711022272986865,4.634728988229636,0.0026469040481037326,1,1
alleged,0.0002987303958177745,4.634728988229636,0.0013845344251619525,2,1
allegedly,0.00015169902912621358,4.634728988229636,0.0007030838877775539,1,1
ally,0.0002157497303128371,4.634728988229636,0.0009999415292836324,1,1
altman,0.0007468259895444362,4.634728988229636,0.0034613360629048816,1,1
american,0.0005109862033725089,4.634728988229636,0.002368282569355971,1,1
amid,0.00014936519790888724,4.634728988229636,0.0006922672125809763,1,1
ammunition,0.00012608750472828143,4.634728988229636,0.0005843814132177073,1,1
andrea,0.00026968716289104636,4.634728988229636,0.0012499269116045403,2,1
andris,0.00031318509238960227,4.634728988229636,0.0014515280263794664,1,1
angeles,0.00017979144192736425,4.634728988229636,0.0008332846077363603,1,1
