category,word_length,count
politics,1,0
politics,2,0
politics,3,393
politics,4,812
politics,5,815
politics,6,864
politics,7,718
politics,8,547
politics,9,289
politics,10,221
politics,11,108
politics,12,45
politics,13,34
politics,14,18
politics,15,3
politics,16,1
politics,17,2
security,1,0
security,2,0
security,3,128
security,4,332
security,5,355
security,6,452
security,7,312
security,8,236
security,9,141
security,10,74
security,11,26
security,12,18
security,13,6
security,14,9
economy,1,0
economy,2,0
economy,3,340
economy,4,840
economy,5,661
economy,6,732
economy,7,606
economy,8,405
economy,9,234
economy,10,180
economy,11,76
economy,12,35
economy,13,23
economy,14,18
economy,15,2
